#Taxonomy	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU26147	Bacteria	Patescibacteria	Microgenomatia	Candidatus_Woesebacteria	NA	NA	NA
OTU26148	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus	NA
OTU26149	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	NA
OTU26150	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus_Udaeobacter	NA
OTU26151	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
OTU26152	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
OTU26153	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae_R-7_group	NA
OTU26154	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae_R-7_group	NA
OTU26155	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	V9D2013_group	NA
OTU26156	Bacteria	Desulfobacterota	Desulfobacteria	Desulfatiglandales	Desulfatiglandaceae	Desulfatiglans	NA
OTU26157	Bacteria	Firmicutes	Clostridia	Clostridia_UCG-014	NA	NA	NA
OTU26158	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Marinilactibacillus	NA
OTU26159	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA
OTU26160	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
OTU26161	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA
OTU26162	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA	NA	NA
OTU26163	Bacteria	Firmicutes	Clostridia	Clostridia_vadinBB60_group	NA	NA	NA
OTU26164	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	NA	NA
OTU26165	Bacteria	Myxococcota	Polyangia	Polyangiales	Phaselicystidaceae	Phaselicystis	NA
OTU26166	Bacteria	Firmicutes	Bacilli	RF39	NA	NA	NA
OTU26167	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae_R-7_group	NA
OTU26168	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	NA
OTU26169	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	NA	NA
OTU26170	Bacteria	Firmicutes	Bacilli	Izemoplasmatales	NA	NA	NA
OTU26171	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
OTU26172	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	NA	NA
OTU26173	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Yaniella	NA
OTU26174	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Candidatus_Actinomarina	NA
OTU26175	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	[Anaerorhabdus]_furcosa_group	NA
OTU26176	Bacteria	Firmicutes	Clostridia	Clostridia_UCG-014	NA	NA	NA
OTU26177	Bacteria	Firmicutes	Clostridia	Clostridia_UCG-014	NA	NA	NA
OTU26178	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA	NA
OTU26179	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
OTU26180	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Aggregicoccus	NA
OTU26181	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	NA	NA
OTU26182	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Shuttleworthia	NA
OTU26183	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	NA	NA
OTU26184	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	NA	NA
OTU26185	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	NA
OTU26186	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA
